Order Date|Channel|Brand Name|Product ID|ASIN|Title|UPC|Pack Size|No. Orders|Units Sold|Packs Sold|Sell-Out|Revenue|ASP|AOV|AOV:Units|Buy Box %|Sessions|PP CRV %|AMZ CRV %|created_on
2019-01-24|Amazon|Airborne|1169100|B000CLIPN6|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|1|1|1|3.79|5.75|5.75|5.75|1.0 Units|100.00%|16|6.25%|25.00%|2019-01-24 12:00:00
2019-02-19|Amazon|Airborne|1169100|B000CLIPN6|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|1|1|1|3.79|5.75|5.75|5.75|1.0 Units|100.00%|23|4.35%|141.31%|2019-02-19 12:00:00
2019-02-21|Amazon|Airborne|1169100|B000CLIPN6|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|1|1|1|3.79|5.75|5.75|5.75|1.0 Units|100.00%|26|3.85%|94.24%|2019-02-21 12:00:00
2019-02-07|Amazon|Airborne|1169100|B000CLIPN6|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|1|1|1|3.79|5.75|5.75|5.75|1.0 Units|93.00%|20|5.00%|31.67%|2019-02-07 12:00:00
2019-02-13|Amazon|Airborne|1169100|B000CLIPN6|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|1|1|1|3.79|5.75|5.75|5.75|1.0 Units|96.00%|39|2.56%|76.92%|2019-02-13 12:00:00
2019-01-28|Amazon|Airborne|1169100|B000CLIPN6|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|2|5|5|18.95|28.75|5.75|14.38|2.5 Units|100.00%|18|11.11%|36.11%|2019-01-28 12:00:00
2019-01-31|Amazon|Airborne|1169100|B000CLIPN6|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|2|5|5|18.95|28.75|5.75|14.38|2.5 Units|91.00%|17|11.76%|50.00%|2019-01-31 12:00:00
2019-01-30|Amazon|Airborne|1169100|B000CLIPN6|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|2|6|6|22.74|34.50|5.75|17.25|3.0 Units|100.00%|21|9.52%|19.05%|2019-01-30 12:00:00
2019-02-02|Amazon|Airborne|1169100|B000CLIPN6|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|2|7|7|26.53|40.25|5.75|20.13|3.5 Units|97.00%|24|8.33%|40.28%|2019-02-02 12:00:00
2019-01-29|Amazon|Airborne|1169100|B000CLIPN6|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|3|5|5|18.95|28.75|5.75|9.58|1.7 Units|92.00%|18|16.67%|58.34%|2019-01-29 12:00:00
2019-02-04|Amazon|Airborne|1169100|B000CLIPN6|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|3|6|6|22.74|34.50|5.75|11.50|2.0 Units|0.00%|0||0.00%|2019-02-04 12:00:00
2019-01-27|Amazon|Airborne|1169100|B000CLIPN6|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|3|8|8|30.32|46.00|5.75|15.33|2.7 Units|90.00%|16|18.75%|56.25%|2019-01-27 12:00:00
2019-02-01|Amazon|Airborne|1169100|B000CLIPN6|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|3|8|8|30.32|46.00|5.75|15.33|2.7 Units|95.00%|26|11.54%|51.92%|2019-02-01 12:00:00
